# Accelerometer Data File
# Started @Fri Sep 02 07:10:52 GMT-03:00 2016
#
#
# sensor Vendor: Invensense
# sensor Name: MPU6500 Acceleration Sensor
# sensor Resolution: 5.985504E-4m/sec^2; Max Range: 19.6133; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.311 0.047 9.853 0
-0.373 -0.005 9.882 5
-0.363 0.056 9.762 4
-0.301 0.109 9.877 5
-0.296 0.109 9.6 5
-0.301 0.004 9.753 5
-0.32 0.047 9.93 5
-0.335 0.037 9.801 5
-0.354 0.066 9.877 5
-0.33 0.099 9.753 5
-0.335 0.056 9.796 5
-0.339 0.123 9.877 5
-0.335 0.133 9.7 5
-0.311 0.166 9.935 5
-0.378 0.214 9.916 5
-0.407 0.248 9.686 5
-0.373 0.138 9.863 5
-0.277 0.09 9.729 5
-0.311 0.056 9.839 4
-0.373 0.023 10.007 5
-0.306 -0.01 9.873 5
-0.368 0.028 9.868 6
-0.392 -0.029 9.997 4
-0.301 0.095 9.758 5
-0.311 0.004 9.7 5
-0.253 -0.024 9.786 5
-0.349 0.013 9.877 5
-0.383 0.018 9.667 5
-0.282 -0.034 9.849 5
-0.397 -0.048 9.834 5
-0.363 -0.067 9.743 5
-0.306 -0.115 9.853 5
-0.445 -0.12 9.81 5
-0.392 -0.082 9.868 5
-0.339 -0.048 9.71 5
-0.277 -0.163 10.031 4
-0.383 -0.038 9.777 5
-0.339 -0.11 9.92 6
-0.325 0.004 9.796 4
-0.263 -0.029 9.925 5
-0.349 -0.029 9.796 5
-0.311 0.047 9.796 5
-0.325 0.018 9.839 5
-0.277 0.042 9.753 5
-0.373 0.037 9.935 5
-0.349 0.018 9.844 5
-0.373 0.099 9.652 5
-0.387 0.013 9.676 5
-0.277 0.056 9.743 5
-0.33 0.066 9.82 5
-0.316 0.066 9.834 5
-0.416 0.071 9.81 5
-0.301 0.104 9.873 4
-0.325 0.143 9.777 6
-0.378 0.128 9.777 4
-0.311 0.147 9.911 5
-0.277 0.133 9.82 5
-0.335 0.037 9.873 5
-0.339 0.162 9.667 5
-0.325 0.205 9.887 5
-0.354 0.061 9.911 5
-0.316 -0.014 9.671 5
-0.316 0.133 9.791 5
-0.335 0.052 9.729 5
-0.277 0.008 9.964 5
-0.387 0.099 9.753 5
-0.306 -0.053 9.786 5
-0.325 0.052 9.825 5
-0.316 0.028 9.667 5
-0.344 -0.024 9.758 5
-0.316 -0.058 9.806 4
-0.363 -0.014 9.791 5
-0.258 -0.058 9.806 5
-0.407 -0.043 9.873 6
-0.272 -0.053 9.949 4
-0.363 -0.101 9.801 5
-0.33 -0.038 9.834 5
-0.349 -0.053 9.743 5
-0.339 -0.129 9.676 5
-0.411 -0.053 9.873 5
-0.277 -0.038 9.753 5
-0.272 -0.053 9.791 5
-0.244 0.023 9.873 5
-0.316 0.008 9.705 5
-0.339 0.004 9.762 5
-0.354 0.018 9.719 5
-0.339 -0.029 9.844 5
-0.325 -0.019 9.715 4
-0.277 0.056 9.71 5
-0.354 0.008 9.743 6
-0.383 0.095 9.796 4
-0.239 0.047 9.686 5
-0.311 0.085 9.973 5
-0.373 0.123 9.762 5
-0.407 0.128 9.968 5
-0.373 0.028 9.729 5
-0.397 -0.019 10.002 5
-0.354 0.133 9.834 5
-0.306 0.066 9.82 5
-0.282 0.104 9.762 5
-0.311 0.133 9.93 5
-0.296 0.066 9.806 5
-0.268 0.066 9.791 5
-0.368 0.061 9.753 5
-0.368 0.085 9.82 5
-0.316 0.123 9.762 5
-0.301 0.08 9.7 4
-0.32 0.013 9.849 5
-0.306 0.095 9.882 5
-0.397 0.085 9.715 6
-0.407 0.128 9.82 4
-0.215 0.052 9.906 5
-0.325 0.052 9.748 5
-0.397 0.166 9.944 5
-0.32 0.023 9.81 5
-0.335 0.018 9.877 5
-0.33 -0.086 9.916 5
-0.33 -0.082 9.954 5
-0.349 -0.12 9.868 5
-0.244 -0.062 9.978 5
-0.402 -0.043 9.834 5
-0.277 -0.086 9.681 5
-0.402 -0.058 9.834 5
-0.368 -0.077 10.011 4
-0.397 0.004 9.676 5
-0.411 -0.086 9.925 6
-0.306 0.052 9.849 4
-0.478 -0.077 9.671 5
-0.349 0.013 9.676 5
-0.407 -0.053 9.71 5
-0.349 -0.053 9.786 5
-0.306 0.028 9.791 5
-0.253 -0.01 9.777 5
-0.268 0.042 9.786 5
-0.373 0.104 9.834 5
-0.344 0.08 9.705 5
-0.272 0.095 9.944 5
-0.339 0.095 9.959 5
-0.421 0.109 9.906 5
-0.392 0.085 9.844 4
-0.363 0.047 9.777 5
-0.325 0.147 9.705 6
-0.325 0.143 9.633 4
-0.349 0.099 9.777 5
-0.363 0.099 9.801 5
-0.335 0.104 9.748 6
-0.354 0.071 9.853 4
-0.368 0.047 9.609 5
-0.402 0.09 9.829 5
-0.239 0.056 9.839 5
-0.387 -0.029 9.739 5
-0.282 0.028 9.839 5
-0.392 0.052 9.844 5
-0.306 -0.014 9.853 5
-0.378 0.056 9.825 5
-0.373 -0.005 9.791 5
-0.335 0.047 9.767 4
-0.363 -0.014 9.82 6
-0.344 -0.019 9.825 4
-0.301 -0.01 9.705 5
-0.378 -0.038 9.978 5
-0.407 -0.12 9.834 5
-0.325 -0.172 9.944 5
-0.407 -0.105 9.767 5
-0.32 -0.005 9.973 5
-0.344 -0.139 9.887 5
-0.282 -0.058 9.839 5
-0.344 0.018 9.806 5
-0.287 -0.034 9.758 5
-0.363 -0.019 9.935 5
-0.397 -0.029 9.791 5
-0.363 0.028 9.825 5
-0.335 0.018 9.786 5
-0.301 -0.034 9.686 5
-0.354 0.004 9.758 5
-0.378 0.037 9.849 5
-0.325 0.047 9.609 4
-0.435 0.056 9.834 6
-0.248 0.056 9.719 4
-0.32 0.032 9.796 5
-0.301 0.047 9.782 5
-0.33 0.056 9.686 6
-0.335 0.195 9.791 4
-0.402 0.133 9.652 5
-0.445 0.128 9.81 5
-0.335 0.138 9.719 5
-0.316 0.128 9.801 5
-0.339 0.123 9.777 5
-0.339 0.052 9.825 5
-0.344 0.095 9.82 5
-0.411 0.023 9.71 5
-0.335 0.056 9.906 5
-0.383 0.071 9.81 5
-0.354 0.104 9.829 5
-0.316 0.056 9.853 5
-0.339 0.008 9.767 4
-0.311 0.047 9.762 5
-0.349 0.023 9.786 5
-0.339 0.018 9.777 5
-0.363 -0.034 9.877 5
-0.277 0.018 9.863 5
-0.397 0.013 9.906 5
-0.339 -0.062 9.839 5
-0.32 -0.024 9.724 5
-0.387 -0.096 9.829 5
-0.373 -0.096 9.916 5
-0.354 -0.024 9.758 5
-0.311 -0.005 9.791 5
-0.368 0.008 9.777 4
-0.411 -0.067 9.729 6
-0.402 -0.014 9.925 5
-0.363 -0.053 9.897 4
-0.33 0.056 9.844 5
-0.268 -0.058 9.877 6
-0.244 0.061 9.777 4
-0.253 -0.005 9.906 5
-0.335 0.099 9.801 5
-0.277 0.061 9.753 6
-0.301 0.013 9.657 4
-0.268 0.032 9.801 5
-0.33 0.008 9.767 5
-0.344 0.056 9.748 5
-0.387 0.09 9.791 5
-0.373 0.085 9.954 5
-0.373 0.128 9.853 5
-0.368 0.095 9.834 5
-0.287 0.085 9.81 5
-0.33 0.028 9.806 5
-0.229 0.037 9.671 4
-0.306 0.09 9.887 6
-0.316 0.128 9.801 4
-0.296 0.071 9.82 5
-0.32 0.037 9.868 5
-0.181 0.023 9.719 5
-0.301 0.023 9.81 5
-0.339 0.114 9.796 5
-0.296 0.071 9.729 5
-0.339 0.09 9.801 5
-0.387 0.023 9.834 5
-0.316 0.047 9.7 5
-0.335 0.052 9.868 5
-0.33 -0.024 9.782 5
-0.248 -0.062 9.834 5
-0.339 0.032 9.935 5
-0.268 -0.01 9.882 5
-0.325 -0.043 9.748 5
-0.253 -0.01 9.743 4
-0.344 -0.005 9.863 5
-0.349 -0.029 9.786 5
-0.33 -0.024 9.825 5
-0.411 -0.105 9.92 5
-0.392 -0.058 9.925 5
-0.387 -0.134 9.739 5
-0.368 -0.077 9.777 6
-0.311 -0.024 9.739 4
-0.272 -0.038 9.758 5
-0.316 -0.034 9.801 5
-0.282 0.008 9.839 5
-0.301 -0.058 9.652 5
-0.32 0.023 9.729 5
-0.325 0.023 9.825 5
-0.296 -0.038 9.801 5
-0.33 -0.014 9.748 5
-0.397 0.037 9.729 5
-0.378 0.018 9.748 4
-0.311 0.166 9.614 5
-0.311 0.047 9.657 5
-0.325 0.095 9.882 5
-0.248 0.037 9.686 5
-0.368 0.085 9.762 5
-0.33 0.056 9.925 5
-0.325 0.104 9.844 5
-0.253 0.176 9.729 5
-0.253 0.099 9.81 5
-0.277 -0.048 9.839 5
-0.363 0.099 9.791 5
-0.378 0.042 9.853 5
-0.32 0.013 9.877 5
-0.316 0.056 9.748 4
-0.378 0.008 9.829 5
-0.387 0.028 9.686 5
-0.407 0.071 9.762 5
-0.392 0.004 9.954 5
-0.272 -0.067 9.657 5
-0.383 -0.053 9.911 5
-0.316 0.099 9.887 5
-0.244 0.023 9.801 5
-0.344 0.071 9.786 5
-0.325 0.032 9.806 5
-1.345 1.838 10.289 6
2.082 -1.097 10.787 4
-1.628 -0.105 9.557 5
1.244 -0.833 10.174 5
-1.091 -1.777 8.671 5
0.416 -1.398 10.629 5
-1.403 -1.365 9.485 5
0.311 -1.427 9.619 4
-0.818 0.238 9.739 6
-1.096 1.637 9.777 5
0.339 2.226 9.844 4
-1.134 3.47 9.585 5
0.138 3.356 10.098 6
-0.584 2.072 9.657 4
0.057 0.89 9.801 5
-0.502 -0.699 9.537 5
0.004 -2.073 9.897 5
-0.105 -2.418 9.988 5
-0.526 -2.179 9.743 5
0.177 -1.652 9.633 5
-0.67 -0.45 9.719 5
-0.296 0.698 9.973 5
-0.617 1.301 9.739 4
-0.536 1.785 9.748 5
-0.545 1.584 9.825 6
-0.55 1.067 9.964 4
-0.454 0.621 10.059 5
-0.488 0.272 9.877 5
0.014 -0.077 9.81 5
-0.186 -0.048 9.743 5
-0.009 -0.354 9.59 5
0.033 -0.881 9.7 5
-0.057 -1.283 9.753 5
-0.177 -1.801 9.791 5
-0.469 -2.16 9.681 5
-0.464 -2.088 9.916 5
-0.737 -1.307 9.825 6
-0.598 -0.364 10.011 4
-0.723 0.928 9.667 5
-0.517 2.077 9.868 5
-0.344 2.604 9.959 5
-0.311 2.412 9.949 5
-0.172 1.388 9.839 4
0.009 -0.053 9.71 5
-0.023 -1.341 9.719 5
-0.076 -2.222 9.968 5
-0.047 -2.519 9.906 5
-0.172 -2.184 9.753 5
-0.368 -1.168 9.762 5
-0.354 -0.192 9.595 5
-0.569 0.995 9.786 5
-0.622 1.67 9.916 5
-0.612 1.89 9.758 5
-0.708 1.694 9.853 5
-0.675 1.431 9.911 5
-0.555 1.052 10.031 5
-0.268 0.779 9.887 5
-0.167 0.755 9.782 5
0.004 0.53 9.633 5
0.148 0.281 9.719 4
0.023 -0.196 9.782 6
-0.047 -0.838 9.715 4
-0.095 -1.384 9.758 5
-0.402 -1.628 9.743 5
-0.608 -1.336 9.853 5
-0.756 -0.742 9.978 5
-0.694 0.358 9.839 5
-0.579 1.55 9.82 5
-0.526 2.441 9.93 5
-0.454 2.69 9.758 5
-0.263 2.135 9.877 5
-0.071 0.966 9.834 5
